timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationCapacity,villagerCount,militaryCount
2026-07-27T20:52:55.2178303Z,1,0x01292690,0x0F737D20,1200,1095,1000,1000,4,4,4,0
2026-07-27T20:52:55.7201963Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:56.2309320Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:56.7318589Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:57.2464064Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:57.7606700Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:58.2728353Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:58.7854800Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:59.2985842Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:52:59.8094669Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:00.3257739Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:00.8396140Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:01.3550965Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:01.8719353Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:02.3875231Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:02.9017143Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:03.4151400Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:03.9295883Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:04.4427136Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:04.9454249Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:05.4486649Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:05.9636456Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:06.4782247Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:06.9899574Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:07.5037160Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:08.0176046Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:08.5189608Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:09.0333425Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:09.5480061Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:10.0490551Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:10.5628381Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:11.0783781Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:11.5901234Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:12.1044774Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:12.6181262Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:13.1201367Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:13.6352761Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:14.1369688Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:14.6534206Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:15.1561919Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:15.6725533Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:16.1881727Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,4,4,4,0
2026-07-27T20:53:16.6991882Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:17.2102795Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:17.7256380Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:18.2404903Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:18.7432570Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:19.2567679Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:19.7702332Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:20.2862945Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:20.8005064Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:21.3153315Z,1,0x01292690,0x0F737D20,1200,995,1000,1000,5,3,4,1
2026-07-27T20:53:21.8285717Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:22.3353243Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:22.8430076Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
